1393904349,72
1393904350,86
1393904351,27
1393904352,23
1393904353,8
1393904354,23
1393904355,65
1393904356,73
1393904357,49
1393904358,67
1393904359,61
1393904360,64
1393904361,83
1393904362,35
1393904363,14
1393904364,24
1393904365,92
1393904366,46
1393904367,89
1393904368,94
1393904369,5
1393904370,73
1393904371,95
1393904372,34
1393904373,35
1393904374,88
1393904375,23
1393904376,73
1393904377,28
1393904378,2
1393904379,24
1393904380,38
1393904381,5
1393904382,18
1393904383,73
1393904384,78
1393904385,12
1393904386,62
1393904387,21
1393904388,97
1393904389,95
1393904390,49
1393904391,39
1393904392,96
1393904393,76
1393904394,28
1393904395,22
1393904396,90
1393904397,78
1393904398,99
1393904399,70
1393904400,8
1393904401,84
1393904402,57
1393904403,43
1393904404,32
1393904405,98
1393904406,91
1393904407,18
1393904408,99
1393904409,41
1393904410,72
1393904411,24
1393904412,93
1393904413,9
1393904414,30
1393904415,9
1393904416,31
1393904417,67
1393904418,59
1393904419,6
1393904420,78
1393904421,11
1393904422,47
1393904423,56
1393904424,29
1393904425,30
1393904426,63
1393904427,70
1393904428,8
1393904429,62
1393904430,0
1393904431,64
1393904432,15
1393904433,54
1393904434,94
1393904435,15
1393904436,67
1393904437,75
1393904438,51
1393904439,73
1393904440,29
1393904441,13
1393904442,87
1393904443,75
1393904444,47
1393904445,69
1393904446,4
1393904447,24
1393904448,0
1393904449,10
1393904450,53
1393904451,82
1393904452,6
1393904453,18
1393904454,82
1393904455,84
1393904456,0
1393904457,44
1393904458,22
1393904459,59
1393904460,12
1393904461,93
1393904462,56
1393904463,49
1393904464,77
1393904465,24
1393904466,92
1393904467,11
1393904468,47
1393904469,65
1393904470,81
1393904471,38
1393904472,20
1393904473,91
1393904474,0
1393904475,74
1393904476,84
1393904477,96
1393904478,30
1393904479,47
1393904480,37
1393904481,41
1393904482,28
1393904483,8
1393904484,60
1393904485,88
1393904486,98
1393904487,9
1393904488,99
1393904489,42
1393904490,94
1393904491,59
1393904492,90
1393904493,9
1393904494,98
1393904495,32
1393904496,6
1393904497,66
1393904498,39
1393904499,92
1393904500,30
1393904501,95
1393904502,50
1393904503,84
1393904504,83
1393904505,34
1393904506,30
1393904507,37
1393904508,32
1393904509,80
1393904510,75
1393904511,27
1393904512,78
1393904513,18
1393904514,37
1393904515,7
1393904516,45
1393904517,96
1393904518,81
1393904519,62
1393904520,75
1393904521,45
1393904522,54
1393904523,7
1393904524,32
1393904525,4
1393904526,44
1393904527,60
1393904528,21
1393904529,90
1393904530,81
1393904531,68
1393904532,0
1393904533,90
1393904534,48
1393904535,69
1393904536,25
1393904537,13
1393904538,6
1393904539,19
1393904540,84
1393904541,60
1393904542,40
1393904543,47
1393904544,45
1393904545,75
1393904546,53
1393904547,87
1393904548,5
1393904549,60
1393904550,5
1393904551,36
1393904552,35
1393904553,4
1393904554,59
1393904555,74
1393904556,25
1393904557,18
1393904558,81
1393904559,55
1393904560,2
1393904561,48
1393904562,21
1393904563,3
1393904564,15
1393904565,35
1393904566,9
1393904567,77
1393904568,97
1393904569,64
1393904570,61
1393904571,8
1393904572,11
1393904573,67
1393904574,67
1393904575,37
1393904576,73
1393904577,31
1393904578,15
1393904579,19
1393904580,46
1393904581,79
1393904582,35
1393904583,75
1393904584,80
1393904585,24
1393904586,72
1393904587,80
1393904588,24
1393904589,34
